index	x	y
0	22	31
1	90	53
2	58	41
3	12	59
4	51	57
5	79	23
6	65	10
7	60	1
8	16	72
9	13	20
10	82	70
11	24	12
12	72	26
13	98	25
14	39	28
15	8	5
16	64	47
17	86	39
18	77	6
19	88	46
20	33	46
21	84	16
22	32	9
23	76	91
24	73	89
25	34	65
26	83	52
27	62	16
28	42	87
29	43	48
30	89	8
31	83	56
32	97	65
33	57	37
34	11	24
35	1	73
36	96	65
37	63	52
38	83	5
39	62	58
40	6	39
41	71	78
42	1	71
43	21	15
44	18	18
45	22	76
46	78	38
47	40	88
48	65	26
49	30	41
50	28	41
51	47	68
52	10	47
53	54	79
54	96	100
55	86	86
56	48	11
57	24	50
58	9	83
59	11	50
60	8	72
61	83	23
62	35	42
63	79	72
64	7	2
65	53	13
66	78	23
67	14	11
68	56	15
69	70	65
70	59	60
71	79	38
72	50	75
73	93	33
74	64	82
75	95	47
76	53	21
77	8	39
78	44	49
79	44	86
80	2	13
81	64	17
82	94	86
83	11	23
84	93	24
85	21	37
86	30	74
87	12	22
88	49	87
89	90	7
90	25	22
91	21	68
92	55	44
93	31	37
94	80	86
95	8	15
96	48	70
97	28	79
98	8	48
99	98	49
100	80	81
101	50	81
102	76	2
103	18	26
104	74	27
105	0	61
106	44	27
107	66	59
108	27	74
109	1	8
110	69	43
111	91	85
112	84	71
113	41	46
114	92	86
115	70	53
116	80	18
117	12	73
118	49	39
119	82	77
120	57	48
121	0	25
122	61	19
123	81	8
124	1	72
125	25	40
126	89	30
127	72	73
128	61	87
129	28	34
130	73	73
131	98	3
132	23	79
133	85	47
134	19	20
135	38	32
136	94	47
137	88	91
138	11	65
139	33	56
140	96	14
141	55	74
142	40	6
143	40	91
144	82	0
145	72	43
146	88	0
147	47	88
148	34	49
149	85	15
150	17	3
151	76	53
152	81	87
153	81	81
154	68	34
155	52	25
156	84	54
157	87	39
158	8	50
159	68	33
160	89	55
161	32	63
162	76	58
163	5	20
164	78	27
165	0	61
166	13	22
167	49	31
168	39	57
169	69	84
170	9	53
171	56	38
172	88	70
173	86	18
174	45	70
175	23	20
176	93	38
177	14	44
178	19	97
179	22	59
180	71	2
181	14	27
182	67	20
183	29	53
184	52	52
185	80	81
186	41	32
187	94	63
188	5	33
189	66	62
190	95	53
191	53	84
192	43	81
193	93	15
194	91	85
195	96	33
196	66	83
197	83	31
198	58	81
199	14	17
200	87	55
201	67	47
202	36	91
203	18	37
204	68	51
205	83	45
206	26	63
207	72	21
208	54	39
209	84	62
210	47	86
211	28	91
212	51	17
213	84	58
214	30	53
215	82	26
216	89	96
217	90	62
218	51	87
219	23	16
220	44	64
221	59	63
222	40	63
223	51	54
224	15	8
225	0	74
226	19	30
227	70	28
228	34	53
229	25	92
230	71	59
231	90	68
232	74	82
233	87	68
234	24	0
235	85	73
236	41	72
237	4	58
238	96	64
239	35	14
240	90	36
241	41	25
242	77	26
243	96	33
244	10	33
245	25	63
246	60	55
247	93	85
248	0	98
249	64	97
250	35	74
251	3	2
252	74	11
253	42	59
254	73	49
255	39	71
256	92	72
257	43	6
258	2	84
259	49	34
260	64	25
261	94	12
262	30	29
263	49	30
264	99	25
265	0	79
266	28	53
267	71	3
268	39	91
269	52	94
270	29	15
271	17	5
272	15	69
273	34	40
274	72	4
275	12	48
276	85	86
277	1	36
278	68	54
279	89	80
280	15	39
281	88	30
282	94	71
283	26	35
284	70	97
285	3	78
286	95	90
287	38	7
288	19	38
289	67	94
290	93	71
291	17	54
292	6	42
293	73	75
294	64	24
295	47	81
296	57	23
297	16	76
298	40	88
299	7	24
