index	x	y
0	34	53
1	58	97
2	97	11
3	53	27
4	86	15
5	57	78
6	82	38
7	51	67
8	100	54
9	20	8
10	59	86
11	49	57
12	22	55
13	76	39
14	94	90
15	87	77
16	63	76
17	5	26
18	49	1
19	88	26
20	84	52
21	98	87
22	23	12
23	51	34
24	42	19
25	82	25
26	46	64
27	91	49
28	45	31
29	90	3
30	70	66
31	5	17
32	17	10
33	95	63
34	39	5
35	4	26
36	58	13
37	95	42
38	14	7
39	12	89
40	6	95
41	54	27
42	89	63
43	76	20
44	13	80
45	12	17
46	71	74
47	59	49
48	3	20
49	81	46
50	66	66
51	36	52
52	90	79
53	100	95
54	79	74
55	75	86
56	41	33
57	14	19
58	77	6
59	54	39
60	28	87
61	26	35
62	99	76
63	14	27
64	89	96
65	34	78
66	2	75
67	62	31
68	39	22
69	6	60
70	38	57
71	37	87
72	82	96
73	5	96
74	11	35
75	77	78
76	99	53
77	78	3
78	66	3
79	76	78
80	70	85
81	26	32
82	60	86
83	69	22
84	10	3
85	39	7
86	59	87
87	80	3
88	64	97
89	6	31
90	32	83
91	33	66
92	77	70
93	22	35
94	30	98
95	7	94
96	82	78
97	19	10
98	73	0
99	72	73
100	91	95
101	9	57
102	96	13
103	39	74
104	94	88
105	14	23
106	83	17
107	38	26
108	22	19
109	1	39
110	65	16
111	30	39
112	9	47
113	66	61
114	38	29
115	81	4
116	13	58
117	20	93
118	62	4
119	70	66
120	14	87
121	5	17
122	50	25
123	94	94
124	87	10
125	7	27
126	100	27
127	65	5
128	61	66
129	4	40
130	44	0
131	67	22
132	19	13
133	35	57
134	78	54
135	99	27
136	88	3
137	45	90
138	72	35
139	17	70
140	91	78
141	100	79
142	20	71
143	84	7
144	27	48
145	27	21
146	83	60
147	63	30
148	55	64
149	56	7
150	29	94
151	80	34
152	6	75
153	69	88
154	27	8
155	24	15
156	18	71
157	23	5
158	37	80
159	77	8
160	53	0
161	83	23
162	35	64
163	59	12
164	4	59
165	72	12
166	29	77
167	16	26
168	64	9
169	57	70
170	100	37
171	12	88
172	61	59
173	98	46
174	68	72
175	63	96
176	89	26
177	98	83
178	61	79
179	9	17
180	48	52
181	33	83
182	19	76
183	100	32
184	55	54
185	89	30
186	12	90
187	63	99
188	75	1
189	51	20
190	68	38
191	9	25
192	19	57
193	89	49
194	22	61
195	83	81
196	8	90
197	62	55
198	75	33
199	12	78
