index	x	y
0	77	62
1	32	29
2	68	80
3	7	74
4	11	42
5	19	16
6	40	54
7	1	17
8	7	7
9	100	72
10	6	75
11	78	48
12	17	90
13	27	14
14	50	23
15	14	51
16	8	82
17	67	39
18	6	20
19	39	30
20	44	5
21	67	42
22	95	26
23	58	41
24	42	34
25	86	29
26	28	52
27	37	69
28	94	19
29	40	2
30	12	6
31	37	8
32	44	0
33	37	0
34	0	100
35	18	46
36	83	0
37	97	63
38	5	25
39	69	32
40	90	41
41	100	49
42	29	34
43	100	64
44	9	48
45	86	91
46	27	4
47	28	14
48	95	96
49	32	29
50	20	44
51	11	1
52	9	10
53	75	16
54	84	77
55	93	82
56	93	52
57	34	6
58	10	99
59	83	47
60	25	16
61	29	69
62	90	79
63	95	65
64	83	48
65	93	64
66	57	78
67	61	70
68	55	73
69	11	21
70	45	2
71	52	63
72	14	92
73	79	81
74	4	44
75	71	4
76	49	25
77	76	19
78	3	53
79	34	64
80	28	82
81	36	50
82	16	37
83	56	4
84	75	76
85	59	56
86	60	77
87	5	6
88	6	13
89	66	100
90	54	23
91	16	99
92	56	68
93	19	43
94	42	41
95	40	48
96	69	23
97	10	38
98	89	25
99	42	12
100	49	8
101	7	37
102	44	18
103	73	36
104	32	79
105	68	42
106	95	23
107	24	86
108	87	1
109	96	45
110	28	51
111	14	91
112	23	61
113	54	74
114	7	57
115	3	20
116	4	6
117	80	35
118	16	95
119	29	46
120	61	76
121	59	97
122	77	73
123	72	59
124	32	63
125	77	83
126	88	86
127	74	36
128	18	38
129	7	48
130	53	98
131	48	66
132	51	46
133	21	79
134	33	33
135	60	4
136	60	18
137	76	23
138	81	79
139	67	67
140	73	18
141	35	65
142	53	12
143	49	51
144	85	13
145	19	33
146	73	82
147	53	24
148	65	31
149	92	97
150	48	62
151	12	53
152	78	12
153	24	12
154	82	73
155	92	13
156	23	72
157	55	69
158	65	62
159	96	73
160	12	58
161	47	29
162	56	18
163	95	37
164	98	51
165	94	72
166	58	40
167	22	79
168	66	68
169	69	76
170	57	49
171	84	9
172	77	80
173	16	22
174	10	13
175	80	50
176	62	40
177	36	22
178	81	25
179	22	67
180	39	89
181	21	97
182	43	26
183	96	90
184	70	67
185	43	17
186	88	61
187	78	40
188	84	51
189	6	48
190	98	74
191	53	71
192	63	40
193	36	89
194	85	25
195	52	2
196	86	12
197	0	20
198	27	11
199	56	64
200	46	57
201	3	94
202	25	69
203	58	35
204	17	17
205	41	58
206	67	43
207	69	76
208	69	7
209	59	15
210	12	86
211	6	49
212	93	17
213	96	13
214	38	7
215	40	55
216	100	22
217	44	83
218	84	26
219	84	95
220	18	83
221	28	73
222	87	30
223	80	71
224	4	46
225	57	0
226	46	64
227	62	95
228	20	80
229	96	15
230	87	86
231	48	4
232	15	66
233	28	57
234	93	86
235	41	41
236	47	33
237	34	51
238	61	91
239	27	19
240	63	54
241	12	77
242	66	10
243	4	69
244	70	67
245	58	71
246	85	36
247	97	50
248	64	24
249	69	15
250	2	72
251	31	44
252	5	59
253	78	92
254	20	76
255	51	40
256	14	6
257	5	40
258	57	38
259	47	92
260	11	10
261	29	56
262	79	79
263	46	43
264	91	92
265	85	57
266	27	70
267	71	38
268	59	68
269	37	10
270	37	99
271	60	80
272	98	49
273	21	72
274	99	73
275	14	38
276	63	6
277	25	36
278	26	12
279	72	20
280	43	86
281	15	75
282	41	12
283	64	18
284	47	62
285	82	55
286	8	97
287	86	0
288	3	57
289	31	60
290	64	37
291	16	80
292	90	28
293	96	74
294	25	67
295	34	71
296	19	50
297	64	35
298	7	15
299	35	6
