index	x	y
0	71	82
1	75	54
2	70	63
3	23	1
4	54	77
5	13	36
6	89	64
7	93	49
8	27	99
9	20	14
10	74	94
11	73	66
12	20	38
13	54	50
14	36	75
15	51	79
16	55	55
17	74	92
18	15	44
19	8	15
20	0	36
21	91	16
22	15	78
23	20	85
24	25	5
25	98	7
26	42	9
27	79	54
28	50	87
29	49	95
30	69	96
31	94	61
32	13	34
33	75	36
34	95	76
35	28	78
36	10	71
37	16	14
38	38	16
39	72	35
40	43	73
41	43	77
42	48	75
43	3	55
44	47	67
45	75	76
46	58	57
47	36	35
48	82	7
49	2	58
50	63	35
51	89	78
52	21	38
53	24	20
54	1	89
55	77	74
56	77	70
57	68	16
58	51	82
59	79	40
60	55	68
61	0	76
62	19	58
63	16	6
64	91	84
65	62	31
66	17	33
67	76	11
68	81	56
69	21	80
70	97	96
71	98	66
72	13	60
73	66	55
74	43	4
75	96	35
76	41	35
77	18	35
78	59	17
79	73	53
80	51	20
81	31	48
82	73	41
83	70	13
84	63	70
85	98	37
86	19	28
87	63	64
88	96	43
89	86	2
90	82	98
91	20	43
92	33	78
93	36	5
94	77	64
95	32	68
96	80	67
97	100	48
98	40	93
99	74	33
100	57	78
101	96	81
102	14	7
103	41	19
104	8	80
105	45	65
106	73	34
107	56	19
108	71	58
109	50	51
110	30	26
111	22	42
112	69	97
113	6	26
114	25	87
115	44	29
116	38	7
117	53	9
118	60	49
119	75	46
120	35	79
121	8	95
122	23	18
123	96	35
124	87	80
125	10	34
126	94	86
127	46	6
128	28	92
129	81	59
130	96	66
131	91	58
132	32	91
133	9	4
134	15	26
135	1	38
136	28	9
137	52	17
138	23	2
139	1	26
140	55	98
141	88	49
142	34	78
143	67	90
144	4	53
145	78	65
146	80	94
147	61	7
148	99	87
149	78	69
150	62	94
151	45	7
152	71	27
153	57	0
154	24	63
155	13	95
156	33	39
157	72	42
158	53	9
159	64	19
160	38	95
161	72	71
162	82	35
163	38	50
164	38	5
165	39	72
166	94	21
167	12	38
168	24	26
169	37	21
170	27	28
171	53	29
172	14	83
173	75	12
174	2	81
175	100	33
176	44	39
177	57	100
178	87	74
179	12	22
180	5	42
181	13	96
182	48	80
183	11	82
184	22	17
185	15	55
186	87	59
187	98	45
188	37	42
189	41	77
190	31	43
191	73	63
192	53	26
193	22	82
194	3	62
195	13	32
196	90	100
197	2	52
198	35	75
199	0	77
200	81	86
201	56	67
202	85	71
203	38	72
204	88	98
205	12	86
206	96	75
207	21	90
208	80	49
209	11	6
210	68	94
211	30	13
212	23	60
213	13	40
214	1	60
215	31	84
216	35	6
217	31	35
218	14	95
219	79	62
220	28	82
221	25	51
222	0	64
223	53	5
224	4	13
225	87	16
226	19	0
227	48	73
228	95	63
229	98	25
230	4	92
231	28	46
232	31	89
233	53	58
234	49	33
235	49	37
236	38	87
237	63	33
238	54	86
239	82	96
240	69	46
241	21	93
242	76	23
243	1	19
244	57	97
245	1	26
246	16	56
247	94	94
248	66	85
249	16	34
250	82	14
251	25	93
252	94	14
253	36	40
254	77	72
255	57	29
256	86	55
257	9	34
258	91	46
259	21	89
260	62	25
261	4	58
262	11	45
263	17	23
264	89	90
265	73	31
266	34	16
267	95	97
268	36	72
269	46	28
270	80	35
271	75	18
272	23	33
273	33	84
274	47	29
275	38	77
276	50	5
277	67	25
278	14	47
279	57	100
280	70	71
281	30	88
282	61	17
283	85	62
284	14	25
285	76	28
286	75	35
287	35	85
288	87	74
289	92	52
290	99	61
291	40	15
292	18	51
293	23	33
294	82	54
295	54	9
296	45	85
297	77	66
298	64	16
299	33	75
