index	x	y
0	93	71
1	81	51
2	26	72
3	23	37
4	61	33
5	85	75
6	90	83
7	56	58
8	55	54
9	10	9
10	32	53
11	14	35
12	1	81
13	5	24
14	63	92
15	15	72
16	92	72
17	49	6
18	17	83
19	30	36
20	82	87
21	72	62
22	56	66
23	9	88
24	56	95
25	25	5
26	99	60
27	84	55
28	85	4
29	49	41
30	67	46
31	55	98
32	29	73
33	96	6
34	54	93
35	85	21
36	34	25
37	71	5
38	34	70
39	56	100
40	39	25
41	73	91
42	23	21
43	50	59
44	87	95
45	25	92
46	79	4
47	25	75
48	80	99
49	27	39
50	41	49
51	97	88
52	79	19
53	73	49
54	0	34
55	23	40
56	33	1
57	66	37
58	83	65
59	35	7
60	45	52
61	99	64
62	0	96
63	8	70
64	73	56
65	41	35
66	13	0
67	53	43
68	61	25
69	48	27
70	46	33
71	29	63
72	58	29
73	81	13
74	78	80
75	80	39
76	32	27
77	48	39
78	16	71
79	77	88
80	94	43
81	50	32
82	90	3
83	18	29
84	73	34
85	25	18
86	86	7
87	7	0
88	82	15
89	77	19
90	12	16
91	38	45
92	78	35
93	87	56
94	39	54
95	99	18
96	90	49
97	82	77
98	24	92
99	25	30
100	69	78
101	63	84
102	67	17
103	100	93
104	5	88
105	40	65
106	88	67
107	99	25
108	13	91
109	64	79
110	90	29
111	81	86
112	80	19
113	32	87
114	38	19
115	42	93
116	80	61
117	86	95
118	34	21
119	16	81
120	65	83
121	82	13
122	36	83
123	64	3
124	20	74
125	39	37
126	31	64
127	27	87
128	60	72
129	0	92
130	97	55
131	82	93
132	54	34
133	14	30
134	100	33
135	73	11
136	14	4
137	94	72
138	36	69
139	49	28
140	33	79
141	63	74
142	45	50
143	67	44
144	68	64
145	96	80
146	4	48
147	52	95
148	36	22
149	80	5
150	33	43
151	10	61
152	9	41
153	13	58
154	36	29
155	12	29
156	93	45
157	60	29
158	53	8
159	35	18
160	16	55
161	94	63
162	52	17
163	87	13
164	3	94
165	66	43
166	67	82
167	14	47
168	47	23
169	72	80
170	40	54
171	43	54
172	61	23
173	21	51
174	90	71
175	10	83
176	90	84
177	22	42
178	9	14
179	64	84
180	97	21
181	37	28
182	96	90
183	59	66
184	65	51
185	54	72
186	67	34
187	25	49
188	34	22
189	84	47
190	77	52
191	25	56
192	87	65
193	68	17
194	80	87
195	63	12
196	9	28
197	32	22
198	8	52
199	39	12
