index	x	y
0	2	3
1	41	32
2	98	38
3	72	97
4	87	28
5	26	13
6	66	6
7	72	97
8	10	15
9	77	43
10	89	43
11	94	67
12	94	2
13	23	35
14	61	68
15	91	70
16	31	2
17	64	4
18	25	56
19	22	86
20	51	48
21	38	37
22	68	90
23	34	22
24	43	57
25	16	20
26	98	35
27	57	66
28	14	91
29	70	84
30	60	72
31	51	43
32	60	72
33	30	92
34	17	51
35	73	28
36	41	40
37	54	56
38	72	55
39	59	78
40	99	60
41	19	33
42	73	25
43	55	64
44	35	63
45	35	98
46	55	49
47	32	54
48	1	7
49	47	98
50	37	71
51	77	60
52	43	38
53	68	39
54	46	81
55	45	7
56	25	100
57	89	19
58	2	62
59	28	49
60	24	81
61	90	31
62	91	51
63	32	75
64	69	52
65	12	58
66	9	100
67	94	71
68	0	65
69	33	80
70	51	92
71	63	94
72	17	9
73	30	65
74	26	25
75	59	58
76	36	36
77	61	31
78	32	75
79	32	19
80	56	92
81	28	94
82	74	33
83	64	65
84	11	61
85	77	46
86	55	28
87	33	93
88	65	7
89	77	56
90	19	87
91	34	57
92	29	54
93	81	50
94	100	84
95	50	3
96	23	5
97	23	72
98	14	73
99	52	17
