index	x	y
0	48	21
1	38	64
2	93	3
3	77	81
4	73	2
5	3	48
6	39	98
7	66	2
8	54	52
9	88	18
10	85	28
11	80	1
12	78	68
13	71	74
14	47	36
15	7	93
16	74	48
17	57	2
18	4	99
19	25	16
20	51	4
21	13	52
22	7	52
23	92	19
24	65	59
25	97	19
26	12	66
27	59	70
28	24	63
29	68	35
30	78	87
31	80	98
32	31	91
33	22	57
34	70	46
35	94	62
36	11	59
37	25	34
38	15	19
39	48	29
40	84	63
41	85	61
42	58	63
43	93	11
44	84	0
45	45	77
46	78	89
47	93	79
48	8	51
49	27	24
50	30	85
51	39	21
52	25	94
53	44	25
54	30	83
55	58	87
56	74	53
57	94	86
58	93	22
59	11	82
60	0	88
61	75	53
62	26	12
63	38	57
64	65	13
65	98	75
66	7	85
67	49	31
68	39	3
69	65	84
70	41	56
71	87	70
72	100	38
73	49	21
74	2	40
75	29	26
76	71	52
77	95	73
78	49	73
79	6	16
80	61	74
81	48	51
82	63	43
83	38	69
84	79	91
85	17	20
86	8	39
87	89	49
88	36	74
89	15	83
90	81	10
91	42	22
92	58	18
93	81	89
94	18	17
95	96	84
96	43	16
97	90	36
98	8	61
99	52	19
