index	x	y
0	98	39
1	74	51
2	8	43
3	77	76
4	20	21
5	78	42
6	42	94
7	66	59
8	86	11
9	23	28
10	40	48
11	55	76
12	77	40
13	83	64
14	44	55
15	93	98
16	41	24
17	45	56
18	85	42
19	10	92
20	84	42
21	51	71
22	36	97
23	2	71
24	69	45
25	0	3
26	59	27
27	53	10
28	2	63
29	37	78
30	83	62
31	3	72
32	70	61
33	56	31
34	76	42
35	74	29
36	49	96
37	67	23
38	92	77
39	2	17
40	71	55
41	41	100
42	5	2
43	54	2
44	83	70
45	1	46
46	66	67
47	40	100
48	16	43
49	94	72
50	20	59
51	9	81
52	59	78
53	43	88
54	58	2
55	61	36
56	45	75
57	83	82
58	92	97
59	90	19
60	81	52
61	48	53
62	90	46
63	86	15
64	91	22
65	9	92
66	15	52
67	41	48
68	33	33
69	91	49
70	51	33
71	75	89
72	9	67
73	100	61
74	80	73
75	88	14
76	2	95
77	67	69
78	38	94
79	70	54
80	10	25
81	64	12
82	97	24
83	14	3
84	97	64
85	55	84
86	31	20
87	43	80
88	84	78
89	34	73
90	5	83
91	48	82
92	99	42
93	68	61
94	13	24
95	93	67
96	72	58
97	54	64
98	30	70
99	10	40
