index	x	y
0	53	6
1	1	77
2	34	19
3	43	12
4	8	86
5	20	62
6	8	38
7	70	47
8	26	0
9	63	45
10	44	2
11	63	21
12	86	65
13	87	0
14	15	96
15	58	80
16	65	20
17	100	76
18	100	79
19	21	40
20	40	57
21	42	68
22	80	18
23	84	87
24	34	90
25	32	19
26	85	81
27	15	41
28	15	42
29	9	100
30	94	0
31	26	62
32	22	31
33	16	1
34	59	38
35	82	14
36	14	93
37	88	14
38	63	20
39	47	4
40	51	97
41	39	60
42	98	1
43	43	28
44	29	72
45	54	92
46	93	73
47	99	78
48	61	90
49	64	12
50	43	98
51	54	62
52	57	90
53	59	7
54	59	33
55	50	97
56	69	9
57	22	92
58	0	8
59	17	71
60	19	51
61	32	63
62	100	55
63	36	46
64	30	58
65	8	36
66	83	22
67	81	94
68	11	50
69	94	41
70	98	22
71	40	13
72	44	14
73	61	20
74	19	13
75	90	78
76	12	49
77	60	8
78	3	3
79	12	32
80	70	9
81	21	89
82	76	26
83	79	0
84	76	85
85	28	81
86	86	39
87	76	18
88	64	81
89	76	46
90	90	16
91	9	74
92	40	55
93	96	2
94	39	55
95	2	72
96	95	62
97	66	62
98	83	17
99	69	6
