index	x	y
0	51	68
1	69	61
2	76	33
3	92	46
4	34	30
5	23	98
6	1	60
7	80	49
8	20	26
9	51	5
10	17	48
11	97	37
12	24	89
13	97	63
14	78	17
15	79	30
16	93	95
17	75	91
18	89	86
19	29	22
20	61	10
21	76	2
22	88	93
23	9	76
24	97	41
25	92	70
26	29	35
27	57	34
28	62	18
29	0	1
30	92	56
31	55	85
32	84	6
33	84	80
34	29	84
35	37	82
36	83	53
37	11	81
38	29	71
39	91	58
40	82	42
41	36	4
42	58	75
43	1	71
44	97	72
45	43	58
46	70	3
47	83	18
48	0	58
49	71	18
50	100	93
51	68	49
52	66	46
53	79	30
54	76	10
55	45	88
56	13	35
57	51	28
58	59	72
59	44	88
60	2	97
61	20	41
62	40	51
63	62	15
64	33	67
65	44	65
66	77	89
67	2	60
68	11	13
69	79	31
70	7	58
71	71	93
72	88	22
73	10	79
74	73	50
75	77	12
76	72	12
77	19	51
78	81	49
79	51	53
80	66	25
81	38	8
82	52	12
83	3	24
84	53	11
85	3	53
86	79	57
87	17	6
88	46	17
89	6	38
90	64	37
91	87	14
92	30	91
93	38	19
94	98	36
95	19	0
96	75	10
97	90	29
98	59	0
99	72	47
