index	x	y
0	55	33
1	44	8
2	16	35
3	89	16
4	55	62
5	77	14
6	64	18
7	47	39
8	32	95
9	90	53
10	93	11
11	6	87
12	57	55
13	36	24
14	11	54
15	11	81
16	2	36
17	81	23
18	51	54
19	10	2
20	65	5
21	28	68
22	33	55
23	69	27
24	45	27
25	61	74
26	31	44
27	9	30
28	6	100
29	7	69
30	63	23
31	40	59
32	87	87
33	60	43
34	93	92
35	64	15
36	5	0
37	88	50
38	59	51
39	15	0
40	49	76
41	64	29
42	83	91
43	23	11
44	46	48
45	70	82
46	51	95
47	30	35
48	72	21
49	79	78
50	42	8
51	11	37
52	26	81
53	29	8
54	31	89
55	2	44
56	36	74
57	36	52
58	3	33
59	11	12
60	21	35
61	10	3
62	17	14
63	69	36
64	29	23
65	17	66
66	23	79
67	71	23
68	73	44
69	28	22
70	1	86
71	24	1
72	15	55
73	10	24
74	75	95
75	69	53
76	14	99
77	34	32
78	52	100
79	41	55
80	93	87
81	92	91
82	22	62
83	27	48
84	57	25
85	18	68
86	65	79
87	72	35
88	4	9
89	87	20
90	50	92
91	95	57
92	11	92
93	20	89
94	20	17
95	87	44
96	25	35
97	46	76
98	56	22
99	31	16
