index	x	y
0	1	66
1	58	95
2	61	10
3	45	10
4	49	7
5	19	44
6	5	66
7	76	80
8	54	37
9	70	82
10	17	49
11	7	76
12	41	61
13	96	64
14	53	43
15	89	55
16	35	98
17	92	24
18	55	95
19	91	68
20	75	48
21	23	29
22	71	9
23	74	45
24	47	40
25	84	100
26	8	2
27	47	45
28	18	41
29	52	13
30	39	78
31	16	0
32	75	38
33	1	71
34	38	21
35	57	11
36	92	70
37	27	87
38	24	50
39	21	90
40	88	89
41	65	60
42	99	18
43	17	18
44	7	92
45	39	76
46	37	22
47	44	41
48	94	18
49	98	67
50	25	27
51	88	70
52	45	13
53	83	15
54	87	25
55	54	38
56	8	26
57	66	94
58	13	96
59	17	86
60	15	42
61	26	94
62	60	30
63	77	64
64	96	56
65	71	87
66	75	89
67	27	88
68	23	96
69	73	27
70	0	11
71	32	29
72	94	87
73	81	60
74	53	87
75	73	87
76	39	58
77	68	61
78	8	34
79	39	11
80	84	75
81	62	28
82	30	97
83	73	29
84	91	63
85	27	72
86	99	58
87	26	13
88	80	93
89	15	16
90	87	48
91	61	7
92	64	44
93	95	39
94	94	99
95	23	52
96	61	92
97	51	14
98	4	74
99	20	40
100	55	17
101	5	14
102	41	1
103	70	37
104	51	11
105	88	48
106	69	52
107	82	89
108	74	57
109	72	76
110	45	83
111	53	54
112	29	83
113	51	8
114	31	99
115	34	95
116	72	10
117	25	60
118	46	1
119	58	91
120	24	32
121	47	72
122	50	98
123	29	19
124	31	60
125	92	41
126	77	3
127	78	21
128	62	84
129	10	88
130	15	44
131	56	44
132	97	20
133	5	12
134	92	87
135	93	69
136	0	48
137	61	3
138	56	78
139	19	6
140	15	72
141	72	79
142	86	74
143	1	44
144	35	16
145	20	78
146	4	4
147	52	39
148	60	46
149	73	71
150	34	2
151	56	37
152	75	56
153	9	68
154	74	77
155	88	88
156	71	22
157	40	0
158	95	81
159	84	45
160	70	61
161	55	59
162	69	3
163	26	33
164	1	62
165	74	84
166	80	96
167	86	2
168	19	14
169	6	23
170	3	18
171	57	59
172	96	33
173	86	12
174	36	57
175	50	71
176	73	6
177	27	23
178	96	17
179	17	98
180	3	19
181	52	35
182	60	52
183	23	86
184	36	31
185	64	53
186	49	95
187	14	35
188	15	26
189	26	88
190	25	0
191	61	10
192	28	44
193	52	21
194	15	19
195	61	34
196	23	47
197	91	57
198	70	69
199	61	56
