index	x	y
0	46	99
1	81	57
2	89	79
3	23	68
4	44	76
5	43	37
6	43	38
7	96	81
8	12	30
9	68	80
10	88	5
11	31	64
12	97	49
13	21	31
14	71	41
15	14	47
16	7	47
17	76	49
18	75	11
19	71	24
20	24	26
21	84	5
22	27	48
23	60	63
24	40	78
25	30	82
26	80	61
27	49	18
28	42	40
29	42	25
30	96	22
31	93	64
32	92	27
33	29	31
34	18	24
35	2	53
36	45	48
37	47	27
38	84	91
39	15	3
40	71	18
41	100	32
42	66	74
43	91	47
44	45	60
45	15	59
46	99	11
47	63	74
48	67	66
49	67	60
50	17	90
51	63	46
52	59	63
53	35	25
54	14	52
55	96	49
56	96	14
57	33	79
58	82	40
59	98	71
60	88	55
61	62	73
62	98	77
63	72	100
64	4	48
65	66	52
66	92	4
67	0	71
68	38	40
69	63	25
70	65	6
71	5	0
72	62	3
73	70	58
74	72	69
75	4	49
76	92	57
77	2	14
78	3	59
79	15	2
80	62	16
81	22	36
82	65	20
83	22	85
84	42	57
85	49	58
86	86	74
87	35	50
88	1	12
89	74	67
90	15	75
91	92	57
92	33	6
93	14	46
94	85	2
95	41	42
96	7	69
97	76	45
98	80	83
99	92	3
