index	x	y
0	78	90
1	35	69
2	56	63
3	42	83
4	15	7
5	83	16
6	63	52
7	73	7
8	70	56
9	82	8
10	43	90
11	75	28
12	45	37
13	85	13
14	44	53
15	66	40
16	17	62
17	76	63
18	77	94
19	36	96
20	31	83
21	57	69
22	30	3
23	56	27
24	81	62
25	34	74
26	51	81
27	81	81
28	14	89
29	45	17
30	99	34
31	8	85
32	7	19
33	43	58
34	43	97
35	80	78
36	49	60
37	66	34
38	77	36
39	72	87
40	29	53
41	99	64
42	3	49
43	23	86
44	49	93
45	43	0
46	46	47
47	7	87
48	71	93
49	78	18
50	95	100
51	87	89
52	46	51
53	45	20
54	54	11
55	78	4
56	98	59
57	61	55
58	72	0
59	88	22
60	95	91
61	63	66
62	70	71
63	43	6
64	76	91
65	67	34
66	33	31
67	68	54
68	93	9
69	3	81
70	60	2
71	75	24
72	74	55
73	86	74
74	28	45
75	75	48
76	85	23
77	92	12
78	70	13
79	0	4
80	1	39
81	90	57
82	21	90
83	70	42
84	64	74
85	65	46
86	27	5
87	53	96
88	87	45
89	2	75
90	59	97
91	17	4
92	60	36
93	36	31
94	83	20
95	0	100
96	68	14
97	84	0
98	44	68
99	58	73
100	31	83
101	67	17
102	23	27
103	80	73
104	54	75
105	80	15
106	46	37
107	92	98
108	85	70
109	27	94
110	65	62
111	19	83
112	16	59
113	98	95
114	53	7
115	93	87
116	20	55
117	82	87
118	26	64
119	53	89
120	73	37
121	62	26
122	7	94
123	26	86
124	36	100
125	96	66
126	52	21
127	0	44
128	69	4
129	22	71
130	4	5
131	54	25
132	44	34
133	45	6
134	29	96
135	7	66
136	82	10
137	98	98
138	3	47
139	9	4
140	46	92
141	14	88
142	56	12
143	83	21
144	69	77
145	82	96
146	85	41
147	100	32
148	68	70
149	59	81
150	64	71
151	9	72
152	95	82
153	71	90
154	46	1
155	82	34
156	17	0
157	70	17
158	3	46
159	96	39
160	40	37
161	63	45
162	79	73
163	9	43
164	74	57
165	0	86
166	54	48
167	66	7
168	23	92
169	100	78
170	17	100
171	100	1
172	57	39
173	62	86
174	56	79
175	100	28
176	48	58
177	81	60
178	42	44
179	6	90
180	57	70
181	25	68
182	3	60
183	100	23
184	15	68
185	19	19
186	57	17
187	46	74
188	8	61
189	94	97
190	77	30
191	80	86
192	21	83
193	26	33
194	66	18
195	61	34
196	86	28
197	89	1
198	96	87
199	57	45
