index	x	y
0	23	88
1	39	72
2	93	43
3	50	70
4	81	45
5	81	5
6	67	66
7	97	5
8	84	4
9	87	4
10	52	13
11	30	55
12	79	80
13	99	76
14	25	61
15	26	47
16	21	61
17	80	77
18	86	53
19	54	31
20	45	16
21	60	72
22	15	57
23	23	76
24	29	18
25	5	27
26	94	93
27	54	4
28	91	99
29	49	31
30	52	30
31	38	19
32	63	74
33	36	16
34	96	78
35	75	74
36	37	92
37	53	7
38	80	65
39	67	45
40	28	88
41	32	18
42	0	64
43	30	87
44	36	0
45	14	60
46	92	55
47	65	91
48	80	46
49	18	7
50	73	37
51	25	78
52	11	2
53	75	28
54	36	20
55	88	2
56	26	91
57	95	69
58	51	29
59	68	52
60	1	9
61	32	71
62	16	37
63	23	34
64	67	76
65	51	78
66	37	58
67	77	54
68	72	86
69	1	79
70	32	19
71	41	4
72	48	64
73	97	32
74	12	50
75	96	81
76	31	6
77	96	46
78	54	70
79	21	69
80	24	0
81	39	90
82	62	44
83	53	87
84	3	90
85	59	47
86	69	10
87	54	58
88	57	65
89	88	45
90	40	35
91	81	24
92	71	55
93	71	84
94	43	0
95	83	66
96	93	82
97	81	43
98	22	42
99	6	16
