index	x	y
0	11	91
1	36	87
2	96	15
3	36	71
4	66	54
5	31	62
6	21	78
7	53	4
8	50	87
9	29	56
10	8	51
11	94	41
12	42	84
13	40	21
14	53	21
15	74	27
16	11	1
17	4	95
18	46	39
19	29	37
20	32	71
21	17	68
22	23	62
23	99	41
24	30	43
25	63	3
26	81	66
27	70	98
28	62	65
29	87	7
30	55	37
31	76	97
32	94	82
33	53	27
34	50	65
35	33	58
36	85	100
37	99	8
38	74	61
39	58	40
40	96	85
41	50	77
42	53	34
43	27	3
44	75	24
45	13	9
46	95	17
47	23	12
48	81	22
49	92	6
50	86	86
51	10	36
52	39	37
53	72	12
54	29	97
55	11	83
56	55	100
57	72	29
58	19	15
59	63	72
60	1	29
61	61	91
62	22	74
63	32	15
64	22	42
65	32	44
66	45	80
67	61	58
68	100	57
69	5	86
70	27	71
71	14	38
72	15	1
73	16	7
74	95	12
75	48	21
76	38	49
77	45	85
78	14	33
79	14	55
80	47	7
81	84	66
82	45	33
83	45	6
84	52	27
85	46	50
86	91	95
87	53	42
88	30	36
89	77	64
90	8	65
91	21	38
92	89	100
93	52	5
94	5	1
95	36	30
96	76	17
97	56	33
98	7	73
99	19	47
