index	x	y
0	97	68
1	52	89
2	49	6
3	35	34
4	49	95
5	8	49
6	28	53
7	33	90
8	83	87
9	24	58
10	38	48
11	33	5
12	46	11
13	71	7
14	84	98
15	63	77
16	91	77
17	32	88
18	69	55
19	27	35
20	5	99
21	42	20
22	0	48
23	31	22
24	25	2
25	55	73
26	93	51
27	88	21
28	15	70
29	74	75
30	64	90
31	49	78
32	47	59
33	18	63
34	42	58
35	46	70
36	0	0
37	11	75
38	71	29
39	70	56
40	47	74
41	24	27
42	88	72
43	40	68
44	52	75
45	11	60
46	66	56
47	43	15
48	90	74
49	18	92
50	58	33
51	78	40
52	31	83
53	43	23
54	96	11
55	17	96
56	45	85
57	6	70
58	40	3
59	13	34
60	8	83
61	16	54
62	11	56
63	76	14
64	41	93
65	99	99
66	64	5
67	74	78
68	79	68
69	100	83
70	65	6
71	49	38
72	100	12
73	4	30
74	52	9
75	18	61
76	65	1
77	11	91
78	28	40
79	40	29
80	39	80
81	23	1
82	2	90
83	67	8
84	24	95
85	35	27
86	57	41
87	56	17
88	76	67
89	29	40
90	14	53
91	68	22
92	72	27
93	83	24
94	92	35
95	82	75
96	95	78
97	68	98
98	66	73
99	43	88
