index	x	y
0	9	23
1	19	34
2	55	55
3	99	73
4	93	53
5	77	11
6	48	23
7	0	53
8	40	89
9	12	30
10	41	59
11	95	31
12	23	58
13	22	10
14	4	93
15	35	52
16	22	72
17	37	0
18	79	6
19	63	23
20	92	73
21	2	31
22	76	94
23	25	97
24	6	86
25	29	58
26	80	25
27	96	93
28	11	92
29	21	26
30	43	80
31	100	39
32	40	53
33	20	59
34	36	59
35	31	93
36	44	50
37	14	78
38	72	7
39	20	95
40	5	49
41	20	91
42	42	51
43	20	88
44	18	25
45	36	4
46	19	18
47	84	51
48	82	79
49	68	84
50	0	29
51	2	30
52	72	95
53	78	82
54	94	3
55	44	50
56	100	24
57	13	83
58	62	39
59	77	46
60	25	23
61	69	96
62	15	19
63	82	99
64	84	7
65	81	94
66	60	31
67	55	26
68	69	65
69	47	47
70	32	5
71	45	53
72	66	59
73	35	37
74	24	33
75	35	66
76	12	38
77	60	75
78	97	77
79	72	57
80	19	0
81	15	38
82	28	62
83	53	73
84	57	44
85	57	88
86	25	62
87	69	10
88	22	93
89	51	45
90	15	7
91	95	18
92	99	8
93	9	80
94	35	34
95	63	92
96	23	30
97	3	5
98	72	8
99	88	69
