index	x	y
0	71	80
1	26	12
2	96	31
3	68	99
4	95	45
5	3	84
6	83	54
7	83	52
8	46	37
9	49	27
10	2	34
11	43	94
12	47	14
13	19	11
14	4	92
15	88	29
16	36	48
17	7	79
18	31	66
19	31	100
20	34	7
21	60	100
22	72	1
23	91	78
24	14	40
25	56	38
26	81	85
27	20	96
28	82	71
29	93	50
30	17	36
31	70	17
32	55	56
33	75	87
34	74	42
35	14	24
36	66	72
37	40	20
38	24	83
39	21	31
40	47	32
41	96	23
42	75	90
43	88	73
44	14	41
45	93	15
46	81	98
47	70	85
48	76	25
49	57	6
50	64	86
51	0	67
52	28	62
53	77	28
54	8	80
55	62	53
56	53	12
57	100	9
58	34	77
59	0	71
60	25	69
61	37	6
62	91	3
63	86	41
64	5	39
65	84	1
66	46	68
67	34	92
68	16	40
69	1	54
70	57	88
71	16	38
72	71	71
73	99	19
74	16	2
75	50	31
76	28	73
77	20	6
78	45	86
79	21	89
80	69	28
81	10	66
82	3	94
83	31	82
84	35	5
85	39	57
86	4	89
87	37	24
88	16	54
89	51	23
90	81	74
91	81	69
92	82	72
93	90	10
94	63	29
95	76	95
96	2	45
97	14	62
98	35	72
99	74	38
